client_id,company_id
614,583
614,182
615,583
615,182
613,583
613,182
616,583
616,182
612,583
612,182
611,583
611,182
610,583
610,182
609,583
609,182
400,583
400,182
608,583
608,182
607,583
607,182
606,583
606,182
605,583
605,182
604,583
604,182
603,583
603,182
602,583
602,182
601,583
601,182
600,583
600,182
403,583
403,182
401,583
401,182
404,583
404,182
599,583
599,182
402,583
402,182
405,583
405,182
1059,583
1059,182
926,583
926,182
925,583
925,182
1060,583
1060,182
1061,583
1061,182
924,583
924,182
1062,583
1062,182
1063,583
1063,182
368,583
368,182
923,583
923,182
369,583
369,182
1064,583
1064,182
927,583
927,182
1065,583
1065,182
344,583
344,182
922,583
922,182
1066,583
1066,182
1067,583
1067,182
370,583
370,182
921,583
921,182
371,583
371,182
1068,583
1068,182
1069,583
1069,182
920,583
920,182
1070,583
1070,182
372,583
372,182
1071,583
1071,182
919,583
919,182
373,583
373,182
1072,583
1072,182
918,583
918,182
1073,583
1073,182
1074,583
1074,182
374,583
374,182
1081,583
1081,182
1075,583
1075,182
375,583
375,182
917,583
917,182
1076,583
1076,182
1077,583
1077,182
1078,583
1078,182
376,583
376,182
916,583
916,182
377,583
377,182
382,583
382,182
379,583
379,182
378,583
378,182
381,583
381,182
380,583
380,182
1080,583
1080,182
1079,583
1079,182
425,583
425,182
423,583
423,182
406,583
406,182
407,583
407,182
408,583
408,182
409,583
409,182
410,583
410,182
411,583
411,182
412,583
412,182
413,583
413,182
414,583
414,182
415,583
415,182
416,583
416,182
417,583
417,182
418,583
418,182
419,583
419,182
424,583
424,182
420,583
420,182
421,583
421,182
422,583
422,182
426,583
426,182
462,583
462,182
1094,583
1094,182
1178,583
1178,182
463,583
463,182
1095,583
1095,182
1179,583
1179,182
464,583
464,182
1096,583
1096,182
1180,583
1180,182
465,583
465,182
466,583
466,182
1097,583
1097,182
1181,583
1181,182
1098,583
1098,182
1182,583
1182,182
467,583
467,182
1099,583
1099,182
1183,583
1183,182
468,583
468,182
1100,583
1100,182
1184,583
1184,182
469,583
469,182
1101,583
1101,182
1185,583
1185,182
470,583
470,182
1102,583
1102,182
1186,583
1186,182
471,583
471,182
1103,583
1103,182
1187,583
1187,182
472,583
472,182
1104,583
1104,182
1188,583
1188,182
473,583
473,182
1105,583
1105,182
1189,583
1189,182
474,583
474,182
1106,583
1106,182
1190,583
1190,182
475,583
475,182
1107,583
1107,182
1191,583
1191,182
476,583
476,182
1108,583
1108,182
1192,583
1192,182
477,583
477,182
481,583
481,182
1109,583
1109,182
1193,583
1193,182
478,583
478,182
480,583
480,182
1110,583
1110,182
1194,583
1194,182
1111,583
1111,182
1195,583
1195,182
479,583
479,182
454,583
454,182
1112,583
1112,182
1196,583
1196,182
1113,583
1113,182
1197,583
1197,182
1114,583
1114,182
1198,583
1198,182
455,583
455,182
456,583
456,182
1115,583
1115,182
1199,583
1199,182
1121,583
1121,182
1205,583
1205,182
1116,583
1116,182
1200,583
1200,182
457,583
457,182
1117,583
1117,182
1201,583
1201,182
458,583
458,182
1118,583
1118,182
1202,583
1202,182
459,583
459,182
1119,583
1119,182
1203,583
1203,182
460,583
460,182
461,583
461,182
1120,583
1120,182
1204,583
1204,182
149,583
149,182
882,583
882,182
1004,583
1004,182
848,583
848,182
336,583
336,182
337,583
337,182
1005,583
1005,182
881,583
881,182
1006,583
1006,182
880,583
880,182
1007,583
1007,182
847,583
847,182
1008,583
1008,182
879,583
879,182
338,583
338,182
1009,583
1009,182
482,583
482,182
1010,583
1010,182
339,583
339,182
483,583
483,182
878,583
878,182
1011,583
1011,182
846,583
846,182
1012,583
1012,182
341,583
341,182
877,583
877,182
484,583
484,182
1013,583
1013,182
340,583
340,182
485,583
485,182
1014,583
1014,182
876,583
876,182
1015,583
1015,182
845,583
845,182
486,583
486,182
875,583
875,182
1016,583
1016,182
487,583
487,182
1017,583
1017,182
849,583
849,182
874,583
874,182
343,583
343,182
1018,583
1018,182
488,583
488,182
346,583
346,182
1019,583
1019,182
489,583
489,182
342,583
342,182
844,583
844,182
873,583
873,182
1020,583
1020,182
1030,583
1030,182
347,583
347,182
1021,583
1021,182
490,583
490,182
1022,583
1022,182
345,583
345,182
491,583
491,182
1023,583
1023,182
492,583
492,182
1024,583
1024,182
885,583
885,182
493,583
493,182
1025,583
1025,182
843,583
843,182
888,583
888,182
494,583
494,182
884,583
884,182
1026,583
1026,182
335,583
335,182
497,583
497,182
889,583
889,182
1027,583
1027,182
495,583
495,182
883,583
883,182
1028,583
1028,182
499,583
499,182
496,583
496,182
887,583
887,182
1029,583
1029,182
498,583
498,182
179,583
179,182
841,583
841,182
180,583
180,182
840,583
840,182
181,583
181,182
182,583
182,182
183,583
183,182
839,583
839,182
184,583
184,182
185,583
185,182
186,583
186,182
198,583
198,182
838,583
838,182
187,583
187,182
188,583
188,182
329,583
329,182
189,583
189,182
331,583
331,182
837,583
837,182
190,583
190,182
842,583
842,182
191,583
191,182
192,583
192,182
193,583
193,182
197,583
197,182
194,583
194,182
199,583
199,182
195,583
195,182
330,583
330,182
196,583
196,182
836,583
836,182
326,583
326,182
309,583
309,182
327,583
327,182
871,583
871,182
308,583
308,182
280,583
280,182
869,583
869,182
324,583
324,182
281,583
281,182
325,583
325,182
868,583
868,182
307,583
307,182
328,583
328,182
322,583
322,182
306,583
306,182
323,583
323,182
867,583
867,182
872,583
872,182
287,583
287,182
866,583
866,182
321,583
321,182
282,583
282,182
283,583
283,182
320,583
320,182
305,583
305,182
319,583
319,182
304,583
304,182
299,583
299,182
318,583
318,182
289,583
289,182
288,583
288,182
298,583
298,182
317,583
317,182
296,583
296,182
316,583
316,182
303,583
303,182
314,583
314,182
297,583
297,182
302,583
302,182
295,583
295,182
315,583
315,182
286,583
286,182
300,583
300,182
294,583
294,182
312,583
312,182
293,583
293,182
313,583
313,182
301,583
301,182
292,583
292,182
310,583
310,182
291,583
291,182
311,583
311,182
285,583
285,182
284,583
284,182
290,583
290,182
252,583
252,182
259,583
259,182
555,583
555,182
253,583
253,182
556,583
556,182
834,583
834,182
258,583
258,182
260,583
260,182
500,583
500,182
251,583
251,182
441,583
441,182
501,583
501,182
257,583
257,182
442,583
442,182
557,583
557,182
502,583
502,182
255,583
255,182
558,583
558,182
833,583
833,182
503,583
503,182
443,583
443,182
559,583
559,182
504,583
504,182
894,583
894,182
256,583
256,182
449,583
449,182
560,583
560,182
250,583
250,182
444,583
444,182
505,583
505,182
561,583
561,182
506,583
506,182
832,583
832,182
562,583
562,182
507,583
507,182
831,583
831,182
563,583
563,182
508,583
508,182
835,583
835,182
254,583
254,182
564,583
564,182
830,583
830,182
445,583
445,182
509,583
509,182
565,583
565,182
510,583
510,182
829,583
829,182
566,583
566,182
511,583
511,182
828,583
828,182
446,583
446,182
567,583
567,182
512,583
512,182
568,583
568,182
827,583
827,182
513,583
513,182
249,583
249,182
569,583
569,182
826,583
826,182
570,583
570,182
514,583
514,182
515,583
515,182
825,583
825,182
447,583
447,182
571,583
571,182
516,583
516,182
572,583
572,182
824,583
824,182
517,583
517,182
573,583
573,182
823,583
823,182
448,583
448,182
518,583
518,182
574,583
574,182
822,583
822,182
519,583
519,182
575,583
575,182
520,583
520,182
576,583
576,182
821,583
821,182
890,583
890,182
521,583
521,182
577,583
577,182
